Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_0fb09_9d29e	1	0	11	0	3	1	238
rev_11910_214ee	0	0	0	0	8	0	99
rev_2df84_87f5c	0	0	0	0	0	0	0
rev_33a71_9f58b	0	0	0	0	0	0	0
rev_3fd1c_6001f	0	0	0	0	0	0	0
rev_4c10d_a87cc	0	0	0	0	1	0	43
rev_531a7_1a021	1	16	0	0	1	1	53
rev_5f317_02944	0	0	0	0	0	0	0
rev_64eca_54a9b	0	0	0	0	0	0	0
rev_801b9_38e70	0	0	0	0	7	0	80
rev_88052_7b94e	0	0	0	0	0	0	0
rev_8c7f4_0c4f0	0	0	0	0	0	0	0
rev_95257_71397	0	0	0	0	0	0	0
rev_bb39e_60682	0	0	0	0	0	0	0
rev_d2df0_7da40	0	0	0	0	0	0	0
rev_d7905_0ef6a	0	0	0	0	0	0	0
rev_dc844_ae639	0	0	0	0	0	0	0
rev_e0710_5c72f	0	0	0	0	0	0	0
rev_e4c8e_713d7	0	0	0	0	0	0	0
rev_f0668_545ad	0	0	0	0	8	0	99
rev_f6e5a_65ee1	0	0	0	0	0	0	0
rev_fbbc8_58b67	0	0	0	0	0	0	0
