Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_0fb09_9d29e	9	285	100	0	6	6	805
rev_11910_214ee	10	60	6	0	10	10	138
rev_2df84_87f5c	1	3	2	0	1	1	259
rev_33a71_9f58b	1	1	1	0	1	1	77
rev_3fd1c_6001f	2	471	6	0	2	2	1338
rev_4c10d_a87cc	2	10	3	0	2	2	136
rev_531a7_1a021	3	319	0	0	3	3	325
rev_5f317_02944	3	383	0	0	2	2	498
rev_64eca_54a9b	1	61	0	0	1	1	63
rev_801b9_38e70	10	11	11	0	10	10	140
rev_88052_7b94e	3	144	3	0	2	2	421
rev_8c7f4_0c4f0	1	27	0	0	1	1	29
rev_95257_71397	12	586	586	0	2	2	1908
rev_bb39e_60682	1	2	2	0	1	1	341
rev_d2df0_7da40	1	9	1	0	1	1	283
rev_d7905_0ef6a	1	518	0	0	1	1	520
rev_dc844_ae639	1	2	2	0	1	1	1263
rev_e0710_5c72f	1	0	1	0	1	1	450
rev_e4c8e_713d7	3	0	311	0	1	1	1267
rev_f0668_545ad	10	60	6	0	10	10	136
rev_f6e5a_65ee1	1	4	1	0	1	1	477
rev_fbbc8_58b67	3	8	10	0	2	2	97
