Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_128e5_d3d27	0	0	0	0	2	0	6257
rev_1a7e5_92ba6	0	0	0	0	2	0	8248
rev_243e6_72172	0	0	0	0	1	0	3913
rev_2519e_a2f04	1	11	0	0	2	1	5776
rev_2a3ad_1c47b	0	0	0	0	1	0	3714
rev_2e625_57f9a	1	1558	0	0	1	1	3771
rev_3cfc1_ef3ff	0	0	0	0	1	0	2824
rev_5df8e_6c4b5	0	0	0	0	1	0	4084
rev_75b97_23f04	0	0	0	0	1	0	64
rev_797bf_c9f2c	0	0	0	1	3	0	4839
rev_8d77f_ff565	0	0	0	0	1	0	5644
rev_9cef1_ff731	1	1	1	0	2	1	340
rev_9cfb2_fccef	0	0	0	0	1	0	3573
rev_a1c62_5a534	0	0	0	0	1	0	3062
rev_a7254_0d420	2	0	49	0	1	1	334
rev_af383_8a388	1	2	2	0	3	1	586
rev_b6655_b868b	2	0	21	0	1	1	71
rev_b9466_17bef	0	0	0	0	1	0	3822
rev_be560_1220c	0	0	0	0	1	0	3507
rev_c87d1_a7309	0	0	0	0	1	0	2950
rev_ce65c_8c4e9	1	9	10	0	1	1	60
rev_d1fa4_5ded8	0	0	0	0	1	0	4455
rev_e20a8_9c6de	0	0	0	0	1	0	2904
rev_eb295_c4974	1	3	3	0	2	1	7265
rev_ed89e_62220	0	0	0	0	1	0	5767
rev_ff922_d0061	1	0	4	0	1	1	69

