Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_128e5_d3d27	2	2	4	0	2	2	3769
rev_1a7e5_92ba6	6	21	208	0	2	2	8192
rev_243e6_72172	2	23	23	0	1	1	3895
rev_2519e_a2f04	2	38	12	0	2	2	3800
rev_2a3ad_1c47b	1	1	1	0	1	1	3717
rev_2e625_57f9a	3	48	62	0	1	1	3779
rev_3cfc1_ef3ff	1	61	43	0	1	1	2827
rev_5df8e_6c4b5	1	2	0	0	1	1	4193
rev_75b97_23f04	1	196	0	0	1	1	226
rev_797bf_c9f2c	3	599	118	0	3	3	5353
rev_8d77f_ff565	2	239	22	0	1	1	5650
rev_9cef1_ff731	2	1	4	0	2	2	338
rev_9cfb2_fccef	1	1	30	0	1	1	3567
rev_a1c62_5a534	1	2	1	0	1	1	3099
rev_a7254_0d420	4	3	58	0	1	1	316
rev_af383_8a388	4	10	11	0	3	3	610
rev_b6655_b868b	1	2	2	0	1	1	51
rev_b9466_17bef	2	11	8	0	1	1	3828
rev_be560_1220c	1	2	0	0	1	1	3514
rev_c87d1_a7309	2	134	48	0	1	1	2948
rev_ce65c_8c4e9	1	9	10	0	1	1	59
rev_d1fa4_5ded8	3	138	393	0	1	1	4465
rev_e20a8_9c6de	1	22	1	0	1	1	2907
rev_eb295_c4974	3	32	16	0	2	2	7345
rev_ed89e_62220	1	116	21	0	1	1	5767
rev_ff922_d0061	1	0	146	0	1	1	148

