Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_0c5b7_a03bb	0	0	0	0	0	0	0
rev_5819b_1a10a	0	0	0	0	1	0	5
rev_5a0bd_da091	0	0	0	0	0	0	0
rev_5ec61_fa009	0	0	0	0	0	0	0
rev_77c18_ec730	0	0	0	0	0	0	0
rev_87aba_cc5b0	0	0	0	0	0	0	0
rev_970e0_7cfee	0	0	0	0	0	0	0
rev_a6819_95f1f	0	0	0	0	0	0	0
rev_bd087_f931b	0	0	0	0	0	0	0
rev_c1e8e_05250	0	0	0	0	0	0	0
rev_ef055_acc8f	0	0	0	0	0	0	0
rev_fdb4d_59dfe	0	0	0	0	0	0	0
