Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_0c5b7_a03bb	1	34	58	0	1	1	491
rev_5819b_1a10a	1	3	3	0	1	1	9
rev_5a0bd_da091	3	3	3	0	1	1	158
rev_5ec61_fa009	1	42	1	0	1	1	878
rev_77c18_ec730	1	3	1	0	2	1	467
rev_87aba_cc5b0	1	4	4	0	1	1	203
rev_970e0_7cfee	1	63	64	0	1	1	128
rev_a6819_95f1f	3	5	9	0	2	2	144
rev_bd087_f931b	1	0	9	0	1	1	334
rev_c1e8e_05250	1	48	1	0	1	1	946
rev_ef055_acc8f	1	0	99	0	1	1	101
rev_fdb4d_59dfe	2	16	18	0	2	2	457
