Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_0a93c_3f7ab	0	0	0	0	1	0	36
rev_0dd9d_3765c	0	0	0	1	1	0	29
rev_19def_d5218	0	0	0	1	1	0	32
rev_1a69c_10fff	0	0	0	0	0	0	0
rev_2713e_d34dd	0	0	0	0	0	0	0
rev_28790_aba1d	1	2	2	0	1	1	185
rev_4c27f_79ec3	0	0	0	0	0	0	0
rev_58869_ec529	0	0	0	0	0	0	0
rev_67fc4_9da57	0	0	0	0	0	0	0
rev_75461_7e1db	0	0	0	0	0	0	0
rev_a7266_13933	0	0	0	0	0	0	0
rev_b52b7_26a9e	1	2	2	0	1	1	162
rev_ccf46_03a71	0	0	0	0	0	0	0
