Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_0a93c_3f7ab	1	1	1	0	1	1	67
rev_0dd9d_3765c	2	2	2	0	2	2	131
rev_19def_d5218	2	2	2	0	2	2	137
rev_1a69c_10fff	1	0	1304	0	1	1	1306
rev_2713e_d34dd	1	1	3	0	1	1	99
rev_28790_aba1d	1	2	2	0	1	1	183
rev_4c27f_79ec3	3	6	14	0	2	2	613
rev_58869_ec529	2	2	2	0	2	2	143
rev_67fc4_9da57	1	19	23	0	1	1	864
rev_75461_7e1db	1	3	8	0	1	1	851
rev_a7266_13933	1	3	11	0	1	1	847
rev_b52b7_26a9e	1	2	2	0	1	1	135
rev_ccf46_03a71	1	0	1971	0	1	1	1973
