Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_07dd3_f524f	3	0	23	2	3	1	426
rev_0c09d_a721d	0	0	0	0	0	0	0
rev_0d677_b14fa	5	52	18	0	1	1	176
rev_1933d_65c06	0	0	0	0	0	0	0
rev_1997d_ffde7	0	0	0	0	1	0	270
rev_5b4e9_a6a83	0	0	0	0	0	0	0
rev_73ba4_f4296	0	0	0	0	1	0	21
rev_7d037_0b299	1	1	3	0	1	1	88
rev_82f13_670c4	1	0	23	0	1	1	118
rev_9e45d_e7b8e	0	0	0	0	1	0	327
rev_a8695_b970d	4	18	8	1	4	1	444
rev_a94fc_1722f	0	0	0	0	0	0	0
rev_beec4_1cfe5	0	0	0	0	0	0	0
rev_c108c_428fc	0	0	0	2	1	0	21
rev_c4f93_b1458	0	0	0	0	0	0	0
rev_cb0fd_ceec5	0	0	0	0	0	0	0
rev_cd01a_04bca	1	44	0	0	2	1	173
rev_cf94c_e7e39	0	0	0	0	0	0	0
rev_d26f3_8bfa9	0	0	0	0	0	0	0
rev_d4502_e1909	0	0	0	0	0	0	0
rev_e43b4_a957b	0	0	0	2	1	0	21
rev_f5bbb_f9141	0	0	0	2	2	0	352
rev_f9a48_f0d3e	0	0	0	0	0	0	0
