Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_07dd3_f524f	4	71	25	0	3	3	558
rev_0c09d_a721d	1	2	0	0	1	1	306
rev_0d677_b14fa	5	10	19	0	2	2	626
rev_1933d_65c06	1	1	1	0	1	1	471
rev_1997d_ffde7	4	15	32	0	1	1	410
rev_5b4e9_a6a83	1	6	11	0	1	1	512
rev_73ba4_f4296	1	2	2	0	1	1	31
rev_7d037_0b299	1	1	3	0	1	1	89
rev_82f13_670c4	1	12	6	0	1	1	102
rev_9e45d_e7b8e	2	13	12	0	1	1	353
rev_a8695_b970d	7	315	14	0	4	4	832
rev_a94fc_1722f	1	6	0	0	1	1	655
rev_beec4_1cfe5	1	4	9	0	1	1	209
rev_c108c_428fc	2	8	3	0	2	2	442
rev_c4f93_b1458	1	24	0	0	1	1	303
rev_cb0fd_ceec5	7	27	36	0	2	2	1545
rev_cd01a_04bca	9	19	70	0	3	3	736
rev_cf94c_e7e39	1	1	2	0	1	1	426
rev_d26f3_8bfa9	1	42	3	0	1	1	491
rev_d4502_e1909	3	6	5	0	1	1	456
rev_e43b4_a957b	1	2	2	0	1	1	31
rev_f5bbb_f9141	2	7	9	0	2	2	379
rev_f9a48_f0d3e	1	2	10	0	1	1	761
